Date,Name,Year,Letterboxd URI
2021-06-24,In the Absence of the Sun,2014,https://boxd.it/8qOG
2021-06-26,Short Term 12,2013,https://boxd.it/5f6s
2021-06-27,Impetigore,2019,https://boxd.it/l1fs
2021-07-06,Imperfect,2019,https://boxd.it/mApk
2021-08-07,Dear to Me,2021,https://boxd.it/utrY
2021-09-21,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-10-27,Spencer,2021,https://boxd.it/qPMG
2021-11-06,Yuni,2021,https://boxd.it/tXkw
2021-11-13,All Too Well: The Short Film,2021,https://boxd.it/xTmc
2021-11-13,C'mon C'mon,2021,https://boxd.it/nrI0
2021-11-21,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2021-12-01,The Boy Who Cried Werewolf,2010,https://boxd.it/J5u
2021-12-14,The Parent Trap,1998,https://boxd.it/1XJq
2022-01-12,Coraline,2009,https://boxd.it/1NhQ
2022-01-28,The Fallout,2021,https://boxd.it/tViI
2022-01-31,Harriet the Spy,1996,https://boxd.it/16ui
2022-02-03,Summerland,2020,https://boxd.it/j1S6
2022-02-11,Petite Maman,2021,https://boxd.it/s6je
2022-02-13,Help,2021,https://boxd.it/vaiU
2022-02-14,CODA,2021,https://boxd.it/tbf4
2022-02-26,Novitiate,2017,https://boxd.it/ewpa
2022-03-26,The Florida Project,2017,https://boxd.it/dMG0
2022-05-11,Disclosure,2020,https://boxd.it/oijM
2022-05-15,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-05-27,The Celluloid Closet,1995,https://boxd.it/1gWw
2022-06-26,Missing Home,2022,https://boxd.it/y8tW
2022-07-25,You Can Live Forever,2022,https://boxd.it/xvlk
2022-09-06,Pariah,2011,https://boxd.it/2wWk
2022-10-10,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2022-10-22,Aftersun,2022,https://boxd.it/Arw0
2023-01-01,Paddington 2,2017,https://boxd.it/bCF8
2023-01-01,Perfect Blue,1997,https://boxd.it/1W7A
2023-01-16,The Menu,2022,https://boxd.it/lScm
2023-02-14,A Place of Rage,1991,https://boxd.it/irLo
2023-03-03,Saving Face,2004,https://boxd.it/1Fj0
2023-04-24,Pride,2014,https://boxd.it/6TwM
2023-07-05,Nimona,2023,https://boxd.it/Aiyc
2023-07-07,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg
2023-07-14,Causeway,2022,https://boxd.it/lWQq
2023-07-21,boygenius: the film,2023,https://boxd.it/FQGY
2023-07-21,Folklore: The Long Pond Studio Sessions,2020,https://boxd.it/sRk4
2023-07-23,Babylon,2022,https://boxd.it/mM02
2023-07-25,Hannah Montana: The Movie,2009,https://boxd.it/1Hx4
2023-07-29,Good Omens,2019,https://boxd.it/jUOI
2023-07-30,Big Little Lies,2017,https://boxd.it/fYde
2023-07-31,Close,2022,https://boxd.it/y4qa
2023-08-05,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2023-08-20,The Last Duel,2021,https://boxd.it/mQbe
2023-08-24,Tomboy,2011,https://boxd.it/49U
2023-09-06,National Theatre Live: Prima Facie,2022,https://boxd.it/Ao48
2023-09-19,Theater Camp,2023,https://boxd.it/Bfbm
2023-09-20,Moonlit Winter,2019,https://boxd.it/lfnK
2023-09-22,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-09-22,The Little Mermaid,2023,https://boxd.it/fVum
2023-09-23,Memories of My Body,2018,https://boxd.it/jDJ2
2023-09-25,Grave of the Fireflies,1988,https://boxd.it/1RUM
2023-10-07,All of Us Strangers,2023,https://boxd.it/Bz3C
2023-11-01,The Fall of the House of Usher,2023,https://boxd.it/IWYg
2023-11-13,Gaza Fights for Freedom,2019,https://boxd.it/mGti
2023-12-14,Fellow Travelers,2023,https://boxd.it/Jdwe
