Date,Name,Year,Letterboxd URI,Rating
2020-01-06,Parasite,2019,https://boxd.it/hTha,5
2020-01-06,Midsommar,2019,https://boxd.it/jhxe,5
2020-01-07,Booksmart,2019,https://boxd.it/igNS,4
2020-01-07,Us,2019,https://boxd.it/gnV6,4
2020-01-07,Short Term 12,2013,https://boxd.it/5f6s,5
2020-01-07,Colonia,2015,https://boxd.it/ajm0,4.5
2020-01-07,Hasan Minhaj: Homecoming King,2017,https://boxd.it/gn6M,4.5
2020-01-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2020-01-12,Knives Out,2019,https://boxd.it/jWEA,5
2020-01-25,The Two Popes,2019,https://boxd.it/k8Xk,3.5
2020-01-29,The Miseducation of Cameron Post,2018,https://boxd.it/f6B2,5
2020-03-05,Little Women,2019,https://boxd.it/aSVk,5
2020-03-05,Spirited Away,2001,https://boxd.it/2b4m,4.5
2020-03-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2020-03-05,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,2
2020-03-05,La La Land,2016,https://boxd.it/a5fa,4
2020-03-05,Avengers: Infinity War,2018,https://boxd.it/9vEe,3
2020-03-05,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2020-03-05,Hereditary,2018,https://boxd.it/hNVe,3.5
2020-03-05,A Quiet Place,2018,https://boxd.it/fVJQ,4.5
2020-03-05,Captain Marvel,2019,https://boxd.it/9vSA,4.5
2020-03-15,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2021-06-24,Impetigore,2019,https://boxd.it/l1fs,5
2021-06-24,Satan's Slaves,2017,https://boxd.it/gJ1E,3.5
2021-06-24,Marlina the Murderer in Four Acts,2017,https://boxd.it/gazQ,4
2021-06-24,Gundala,2019,https://boxd.it/iISQ,3
2021-06-24,Two Blue Stripes,2019,https://boxd.it/lw7k,4
2021-06-24,27 Steps of May,2018,https://boxd.it/k8bq,4.5
2021-06-24,Aruna & Her Palate,2018,https://boxd.it/ju2e,3.5
2021-06-24,Memories of My Body,2018,https://boxd.it/jDJ2,3.5
2021-06-24,Ave Maryam,2018,https://boxd.it/k8bA,3
2021-06-24,A Copy of My Mind,2015,https://boxd.it/cakS,4
2021-06-24,Ali & Ratu Ratu Queens,2021,https://boxd.it/o9YQ,3.5
2021-06-24,Check the Store Next Door,2016,https://boxd.it/fbpU,3.5
2021-06-24,In the Absence of the Sun,2014,https://boxd.it/8qOG,4.5
2021-06-24,Glorious Days,2019,https://boxd.it/mdDe,4
2021-06-24,Milly & Mamet,2018,https://boxd.it/iITk,3
2021-06-24,The Earth of Mankind,2019,https://boxd.it/mwAo,4
2021-06-24,Susah Sinyal,2017,https://boxd.it/hlxS,4
2021-06-24,Three Days to Forever,2007,https://boxd.it/7AKM,4
2021-06-24,Kartini: Princess of Java,2017,https://boxd.it/g75e,4
2021-06-24,Critical Eleven,2017,https://boxd.it/gi7U,3.5
2021-06-24,Behind 98,2015,https://boxd.it/eXiq,3
2021-06-24,What's Up with Cinta?,2002,https://boxd.it/14yM,4
2021-06-24,What's Up with Cinta 2,2016,https://boxd.it/dNtw,3.5
2021-06-25,Hangout,2016,https://boxd.it/fkwA,3
2021-06-25,When Will You Get Married?,2015,https://boxd.it/aBj4,3
2021-06-25,Bo Burnham: Inside,2021,https://boxd.it/v2uy,4
2021-06-25,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3.5
2021-06-26,About Someone,2005,https://boxd.it/hgjG,3
2021-06-27,The Golden Cane Warrior,2014,https://boxd.it/9ZwO,4
2021-06-27,Konfabulasi,2021,https://boxd.it/vnsI,4
2021-06-28,The Gathering,2003,https://boxd.it/7fWM,4
2021-06-28,The Gathering 2,2011,https://boxd.it/8Shq,4
2021-07-01,Quarantine Tales,2020,https://boxd.it/sWfe,3.5
2021-07-06,Imperfect,2019,https://boxd.it/mApk,4.5
2021-07-09,Lovely Man,2011,https://boxd.it/7OoU,4
2021-07-09,Crazy Awesome Teachers,2020,https://boxd.it/oo3A,3
2021-07-10,Black Widow,2021,https://boxd.it/hWV8,4.5
2021-07-22,They Call Me Babu,2019,https://boxd.it/o7y2,4
2021-07-24,Susi Susanti: Love All,2019,https://boxd.it/mPKC,4
2021-08-04,The Forbidden Door,2009,https://boxd.it/14DW,3.5
2021-08-05,Fiction.,2008,https://boxd.it/7HfG,5
2021-08-07,Dear to Me,2021,https://boxd.it/utrY,4
2021-08-09,Joni's Promise,2005,https://boxd.it/14y8,3.5
2021-08-12,Pray Away,2021,https://boxd.it/pzmg,3
2021-08-14,Dead Time,2007,https://boxd.it/14E6,4
2021-09-21,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,4.5
2021-09-24,Dear Evan Hansen,2021,https://boxd.it/kOP8,3.5
2021-10-13,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,4
2021-10-15,Dune,2021,https://boxd.it/fA7G,3.5
2021-10-23,Doctor Sleep,2019,https://boxd.it/i5vI,4
2021-10-27,Spencer,2021,https://boxd.it/qPMG,5
2021-10-30,Hypnotic,2021,https://boxd.it/wFPM,2.5
2021-11-05,Eternals,2021,https://boxd.it/j36o,4.5
2021-11-06,Yuni,2021,https://boxd.it/tXkw,5
2021-11-08,My First Summer,2020,https://boxd.it/rOjg,4
2021-11-09,Camp Rock,2008,https://boxd.it/1PHw,2.5
2021-11-13,All Too Well: The Short Film,2021,https://boxd.it/xTmc,5
2021-11-13,C'mon C'mon,2021,https://boxd.it/nrI0,5
2021-11-15,Disobedience,2017,https://boxd.it/ePFG,3.5
2021-11-22,The Card Counter,2021,https://boxd.it/nTH0,2.5
2021-11-23,Shiva Baby,2020,https://boxd.it/oIv0,4
2021-11-26,The Conjuring,2013,https://boxd.it/4sr2,3
2021-11-27,Princess Protection Program,2009,https://boxd.it/1F5s,3
2021-11-28,Licorice Pizza,2021,https://boxd.it/qTKY,4
2021-12-01,The Boy Who Cried Werewolf,2010,https://boxd.it/J5u,2
2021-12-14,The Parent Trap,1998,https://boxd.it/1XJq,5
2021-12-14,The Rescue,2021,https://boxd.it/pmto,4
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2021-12-22,Grown Ups,2010,https://boxd.it/169a,3
2021-12-25,Rent,2005,https://boxd.it/2844,3
